tool,rule_id,severity,file,line,column,message
ruff,SIM114,medium,src/requests/models.py,115,9,Combine `if` branches using logical `or` operator
ruff,RET505,medium,src/requests/models.py,117,9,Unnecessary `elif` after `return` statement
ruff,PLW2901,medium,src/requests/models.py,123,21,`for` loop variable `vs` overwritten by assignment target
ruff,PERF401,medium,src/requests/models.py,126,25,Use `list.extend` to create a transformed list
ruff,PLR0912,medium,src/requests/models.py,137,9,Too many branches (17 > 12)
ruff,E501,medium,src/requests/models.py,143,89,Line too long (96 > 88)
ruff,EM101,medium,src/requests/models.py,147,30,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,147,19,Avoid specifying long messages outside the exception class
ruff,RET506,medium,src/requests/models.py,148,9,Unnecessary `elif` after `raise` statement
ruff,EM101,medium,src/requests/models.py,149,30,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,149,19,Avoid specifying long messages outside the exception class
ruff,PLW2901,medium,src/requests/models.py,157,17,`for` loop variable `val` overwritten by assignment target
ruff,PLW2901,medium,src/requests/models.py,162,25,`for` loop variable `v` overwritten by assignment target
ruff,PLR2004,medium,src/requests/models.py,178,30,"Magic value used in comparison, consider replacing `2` with a constant variable"
ruff,PLR2004,medium,src/requests/models.py,180,32,"Magic value used in comparison, consider replacing `3` with a constant variable"
ruff,EM102,medium,src/requests/models.py,211,30,"Exception must not use an f-string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,211,19,Avoid specifying long messages outside the exception class
ruff,TRY300,medium,src/requests/models.py,225,13,Consider moving this statement to an `else` block
ruff,E501,medium,src/requests/models.py,233,89,Line too long (94 > 88)
ruff,E501,medium,src/requests/models.py,242,89,Line too long (96 > 88)
ruff,PLR0913,medium,src/requests/models.py,258,9,Too many arguments in function definition (10 > 5)
ruff,E501,medium,src/requests/models.py,296,89,Line too long (102 > 88)
ruff,PLR0913,medium,src/requests/models.py,351,9,Too many arguments in function definition (10 > 5)
ruff,PLR0912,medium,src/requests/models.py,409,9,Too many branches (16 > 12)
ruff,SIM108,medium,src/requests/models.py,416,9,"Use ternary operator `url = url.decode(""utf8"") if isinstance(url, bytes) else str(url)` instead of `if`-`else`-block"
ruff,TRY003,medium,src/requests/models.py,438,19,Avoid specifying long messages outside the exception class
ruff,EM102,medium,src/requests/models.py,439,17,"Exception must not use an f-string literal, assign to variable first"
ruff,EM102,medium,src/requests/models.py,444,30,"Exception must not use an f-string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,444,19,Avoid specifying long messages outside the exception class
ruff,E501,medium,src/requests/models.py,448,89,Line too long (89 > 88)
ruff,EM101,medium,src/requests/models.py,454,34,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,454,23,Avoid specifying long messages outside the exception class
ruff,EM101,medium,src/requests/models.py,456,30,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,456,19,Avoid specifying long messages outside the exception class
ruff,SIM108,medium,src/requests/models.py,475,13,"Use ternary operator `query = f""{query}&{enc_params}"" if query else enc_params` instead of `if`-`else`-block"
ruff,PLR0912,medium,src/requests/models.py,494,9,Too many branches (17 > 12)
ruff,EM101,medium,src/requests/models.py,545,21,"Exception must not use a string literal, assign to variable first"
ruff,PLR5501,medium,src/requests/models.py,556,13,"Use `elif` instead of `else` then `if`, to reduce indentation"
ruff,PLR2004,medium,src/requests/models.py,597,57,"Magic value used in comparison, consider replacing `2` with a constant variable"
ruff,RUF012,medium,src/requests/models.py,645,17,Mutable class attributes should be annotated with `typing.ClassVar`
ruff,E501,medium,src/requests/models.py,786,89,Line too long (98 > 88)
ruff,E501,medium,src/requests/models.py,791,89,Line too long (93 > 88)
ruff,RET505,medium,src/requests/models.py,794,9,Unnecessary `else` after `return` statement
ruff,FBT002,medium,src/requests/models.py,799,42,Boolean default positional argument in function definition
ruff,RET506,medium,src/requests/models.py,841,9,Unnecessary `elif` after `raise` statement
ruff,TRY003,medium,src/requests/models.py,842,19,Avoid specifying long messages outside the exception class
ruff,EM102,medium,src/requests/models.py,843,17,"Exception must not use an f-string literal, assign to variable first"
ruff,FBT002,medium,src/requests/models.py,858,43,Boolean default positional argument in function definition
ruff,PLW2901,medium,src/requests/models.py,873,17,`for` loop variable `chunk` overwritten by assignment target
ruff,SIM108,medium,src/requests/models.py,875,13,Use ternary operator `lines = chunk.split(delimiter) if delimiter else chunk.splitlines()` instead of `if`-`else`-block
ruff,EM101,medium,src/requests/models.py,897,36,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/models.py,897,23,Avoid specifying long messages outside the exception class
ruff,PLR2004,medium,src/requests/models.py,955,71,"Magic value used in comparison, consider replacing `3` with a constant variable"
ruff,PLR2004,medium,src/requests/models.py,1013,12,"Magic value used in comparison, consider replacing `400` with a constant variable"
ruff,PLR2004,medium,src/requests/models.py,1013,38,"Magic value used in comparison, consider replacing `500` with a constant variable"
ruff,PLR2004,medium,src/requests/models.py,1018,14,"Magic value used in comparison, consider replacing `500` with a constant variable"
ruff,PLR2004,medium,src/requests/models.py,1018,40,"Magic value used in comparison, consider replacing `600` with a constant variable"
ruff,PLW2901,medium,src/requests/packages.py,22,13,`for` loop variable `mod` overwritten by assignment target
ruff,PLR0912,medium,src/requests/sessions.py,159,9,Too many branches (13 > 12)
ruff,PLR0913,medium,src/requests/sessions.py,159,9,Too many arguments in function definition (8 > 5)
ruff,PLR0915,medium,src/requests/sessions.py,159,9,Too many statements (52 > 50)
ruff,FBT002,medium,src/requests/sessions.py,163,9,Boolean default positional argument in function definition
ruff,FBT002,medium,src/requests/sessions.py,165,9,Boolean default positional argument in function definition
ruff,FBT002,medium,src/requests/sessions.py,168,9,Boolean default positional argument in function definition
ruff,TRY003,medium,src/requests/sessions.py,191,23,Avoid specifying long messages outside the exception class
ruff,EM102,medium,src/requests/sessions.py,192,21,"Exception must not use an f-string literal, assign to variable first"
ruff,RUF012,medium,src/requests/sessions.py,375,17,Mutable class attributes should be annotated with `typing.ClassVar`
ruff,PLR0913,medium,src/requests/sessions.py,500,9,Too many arguments in function definition (16 > 5)
ruff,FBT002,medium,src/requests/sessions.py,511,9,Boolean default positional argument in function definition
ruff,E501,medium,src/requests/sessions.py,550,89,Line too long (95 > 88)
ruff,RET504,medium,src/requests/sessions.py,591,16,Unnecessary assignment to `resp` before `return` statement
ruff,EM101,medium,src/requests/sessions.py,689,30,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/sessions.py,689,19,Avoid specifying long messages outside the exception class
ruff,TRY004,medium,src/requests/sessions.py,689,13,Prefer `TypeError` exception for invalid type
ruff,E501,medium,src/requests/sessions.py,736,89,Line too long (100 > 88)
ruff,SIM105,medium,src/requests/sessions.py,738,13,Use `contextlib.suppress(StopIteration)` instead of `try`-`except`-`pass`
ruff,EM102,medium,src/requests/sessions.py,792,29,"Exception must not use an f-string literal, assign to variable first"
ruff,TRY003,medium,src/requests/sessions.py,792,15,Avoid specifying long messages outside the exception class
ruff,RET504,medium,src/requests/sessions.py,812,16,Unnecessary assignment to `state` before `return` statement
ruff,UP031,medium,src/requests/status_codes.py,118,16,Use format specifiers instead of percent format
ruff,PLW0603,medium,src/requests/status_codes.py,120,12,Using the global statement to update `__doc__` is discouraged
ruff,N806,medium,src/requests/utils.py,83,13,Variable `internetSettings` in function should be lowercase
ruff,N806,medium,src/requests/utils.py,88,13,Variable `proxyEnable` in function should be lowercase
ruff,N806,medium,src/requests/utils.py,90,13,Variable `proxyOverride` in function should be lowercase
ruff,N806,medium,src/requests/utils.py,99,9,Variable `proxyOverride` in function should be lowercase
ruff,N806,medium,src/requests/utils.py,101,9,Variable `proxyOverride` in function should be lowercase
ruff,SIM102,medium,src/requests/utils.py,104,13,Use a single `if` statement instead of nested `if` statements
ruff,PLW2901,medium,src/requests/utils.py,107,13,`for` loop variable `test` overwritten by assignment target
ruff,PLW2901,medium,src/requests/utils.py,108,13,`for` loop variable `test` overwritten by assignment target
ruff,PLW2901,medium,src/requests/utils.py,109,13,`for` loop variable `test` overwritten by assignment target
ruff,RUF100,medium,src/requests/utils.py,114,30,Unused blanket `noqa` directive
ruff,RET505,medium,src/requests/utils.py,122,9,Unnecessary `else` after `return` statement
ruff,PLR0912,medium,src/requests/utils.py,135,5,Too many branches (14 > 12)
ruff,FBT002,medium,src/requests/utils.py,204,25,Boolean default positional argument in function definition
ruff,RET502,medium,src/requests/utils.py,225,17,Do not implicitly `return None` in function able to return non-`None` value
ruff,RET502,medium,src/requests/utils.py,233,13,Do not implicitly `return None` in function able to return non-`None` value
ruff,RET503,medium,src/requests/utils.py,264,5,Missing explicit `return` at the end of function able to return non-`None` value
ruff,E501,medium,src/requests/utils.py,283,89,Line too long (128 > 88)
ruff,E501,medium,src/requests/utils.py,284,89,Line too long (105 > 88)
ruff,E501,medium,src/requests/utils.py,299,89,Line too long (117 > 88)
ruff,EM101,medium,src/requests/utils.py,340,26,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/utils.py,340,15,Avoid specifying long messages outside the exception class
ruff,TRY004,medium,src/requests/utils.py,340,9,Prefer `TypeError` exception for invalid type
ruff,EM101,medium,src/requests/utils.py,366,26,"Exception must not use a string literal, assign to variable first"
ruff,TRY003,medium,src/requests/utils.py,366,15,Avoid specifying long messages outside the exception class
ruff,TRY004,medium,src/requests/utils.py,366,9,Prefer `TypeError` exception for invalid type
ruff,PLW2901,medium,src/requests/utils.py,401,13,`for` loop variable `item` overwritten by assignment target
ruff,FBT002,medium,src/requests/utils.py,442,33,Boolean default positional argument in function definition
ruff,RET504,medium,src/requests/utils.py,475,12,Unnecessary assignment to `cookie_dict` before `return` statement
